,Title,Agency,Department,Department_code,Techniques,Summary,Processed_Summary,Cluster,topics
253,Automated sorting of high repetition rate coherent diffraction data from XFELS,Brookhaven National Laboratory,Department of Energy,DOE,,"""Coherent X-rays are routinely provided today by the latest Synchrotron 
and X-ray Free-electron Laser Sources. When these diffract from a 
crystal containing defects, interference leads to the formation of a 
modulated diffraction pattern called """"speckle"""". When the defects move 
around, they can be quantified by a correlation analysis technique called 
X-ray Photon Correlation Spectroscopy. But the speckles also change 
when the beam moves on the sample. By scanning the beam in a 
controlled way, the overlap between the adjacent regions gives 
redundancy to the data, which allows a solution of the inherent phase 
problem. This is the basis of the coherent X-ray ptychography method 
which can achieve image resolutions of 10nm, but only if the probe 
positions are known.
The goal of this proposal will be to separate """"genuine"""" fluctuations of a 
material sample from the inherent beam fluctuations at the high data 
rates of XFELs. Algorithms will be developed to calculate the 
correlations between all the coherent diffraction patterns arriving in a 
time series, then used to separate the two sources of fluctuation using 
the criterion that the """"natural"""" thermal fluctuations do not repeat, while 
beam ones do.  We separate the data stream into image and beam 
""""modes"""" automatically.""",coherent routinely provided today latest synchrotron laser sources diffract crystal containing defects interference leads formation modulated diffraction pattern called speckle defects move around quantified correlation analysis technique called photon correlation spectroscopy speckles also change beam moves sample scanning beam controlled way overlap adjacent regions gives redundancy data allows solution inherent phase problem basis coherent ptychography method achieve image resolutions probe positions known goal proposal separate genuine fluctuations material sample inherent beam fluctuations high data rates xfels algorithms developed calculate correlations coherent diffraction patterns arriving time series used separate two sources fluctuation using criterion natural thermal fluctuations repeat beam ones separate data stream image beam modes automatically,7,"Internal operations: administrative use cases for AI, e.g. notetaking, virtual assistants"
254,Machine Learning for Autonomous Control of Scientific User Facilities,Brookhaven National Laboratory,Department of Energy,DOE,ML,"BNL will work alongside SLAC, to implement ML algorithm(s) into NSLS-
II Operations to interpret accelerator data more intelligently.  We intend 
to train said algorithms with 5+ years of archived device-data from 
accelerator components, records of previous fault causes (to connect to 
data-symptoms) and stored beam current.",bnl work alongside slac implement ml algorithm ii operations interpret accelerator data intelligently intend train said algorithms years archived accelerator components records previous fault causes connect stored beam current,8,Asset management
255,SMMM,Brookhaven National Laboratory,Department of Energy,DOE,"AI, ML","AI/ML is being used to evaluate measurements in real-time during 
simultaneous experiments on two beamlines and then drive subsequent 
data collection on both of the beamlines to maximize the scientific value 
generated per time.",used evaluate measurements simultaneous experiments two beamlines drive subsequent data collection beamlines maximize scientific value generated per time,16,Service delivery
256,AI Denoising,Fermi National Accelerator,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, BIG DATA, NEURAL NETWORKS, HIERARCHICAL GENERATIVE MODEL","This program aims to develop generative models for quickly simulating 
showers of particles in calorimeters for LHC experiments",program aims develop generative models quickly simulating showers particles calorimeters lhc experiments,16,Topic: Asset management
257,Extreme data reduction for the edge,Fermi National Accelerator,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, BIG DATA, NEURAL NETWORKS, NOVEL SPECTROSCOPIC TECHNOLOGY","This projects develops AI algorithms and tools for near-sensor data 
reduction in custom hardware.",projects develops ai algorithms tools data reduction custom hardware,16,Service delivery
258,High-Velocity AI: Generative Models,Fermi National Accelerator,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, BIG DATA, NEURAL NETWORKS, HIERARCHICAL GENERATIVE MODEL","This project has two parts: 1. generating adversarial examples and then 
using domain adaptation and other techniques to improve the 
robustness of AI classification algorithms against those attacks 
(focusing on astrophysics/cosmology applications); 2. using AI 
algorithms to improve the output of low-quality classical simulation 
engines to deliver a high-quality result at high speed.",project two parts generating adversarial examples using domain adaptation techniques improve robustness ai classification algorithms attacks focusing applications using ai algorithms improve output classical simulation engines deliver result high speed,5,Topic: Internal Operations
259,hls4ml,Fermi National Accelerator,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, BIG DATA, NEURAL NETWORKS","This project develops hardware-software AI codesign tools for FPGAs 
and ASICs for algorithms running at the extreme edge.",project develops ai codesign tools fpgas asics algorithms running extreme edge,18,Asset management
260,In-pixel AI for future tracking detectors,Fermi National Accelerator,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, BIG DATA, NEURAL NETWORKS","This project explores novel  AI-on-chip technology for intelligent 
detectors embedded with sensing technology",project explores novel technology intelligent detectors embedded sensing technology,11,Service delivery
261,In-storage computing for multi- messenger astronomy in neutrino experiments and cosmological surveys,Fermi National Accelerator,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, BIG DATA, NEURAL NETWORKS","This project aims to address the big-data challenges and stringent time 
constraints facing multi-messenger astronomy (MMA) in neutrino 
experiments and cosomological surveys. Instead of following the 
traditional computing paradigm of moving data to the compute 
elements, it does the opposite to embed computation in the data where 
processing is performed in situ. This will be achieved through emerging 
computational storage accelerators on which ML algorithms may be 
deployed to execute MMA tasks quickly so alerts can be disseminated 
promptly.",project aims address challenges stringent time constraints facing astronomy mma neutrino experiments cosomological surveys instead following traditional computing paradigm moving data compute elements opposite embed computation data processing performed situ achieved emerging computational storage accelerators ml algorithms may deployed execute mma tasks quickly alerts disseminated promptly,2,Topic: Other
262,Machine Learning for Accelerator Operations Using Big Data Analytics / L-CAPE,Fermi National Accelerator,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, BIG DATA, NEURAL NETWORKS","Big data analytics for anomaly prediction and classification, enabling 
automatic mitigation, operational savings, and predictive maintenance of 
the Fermilab LINAC",big data analytics anomaly prediction classification enabling automatic mitigation operational savings predictive maintenance fermilab linac,8,Asset management: use of AI to manage both physical and digital assets
263,Machine Learning for Linac Improved Performance,Fermi National Accelerator,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, BIG DATA, NEURAL NETWORKS","In Linacs at FNAL and J-PARC, the current emittance optimization 
procedure is limited to manual adjustments of a few parameters; using 
a larger number is not practically feasible for a human operator. Using 
machine learning (ML) techniques allows lifting this restriction and 
expanding this set. Our goal is to integrate ML into linac operation - and 
in particular RF control to achieve a more optimal longitudinal emittance 
and lower overall losses.",linacs fnal current emittance optimization procedure limited manual adjustments parameters using larger number practically feasible human operator using machine learning ml techniques allows lifting restriction expanding set goal integrate ml linac operation particular rf control achieve optimal longitudinal emittance lower overall losses,18,Topic: Asset management
264,Next-Generation Beam Cooling and Control with Optical Stochastic Cooling,Fermi National Accelerator,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, BIG DATA, NEURAL NETWORKS","This program leverages the physics and technology of optical stochastic 
cooling (OSC) to explore new possibilities in beam control and sensing.  
The planned architecture and performance of a new OSC system at 
IOTA should enable turn-by-turn programmability of the high-gain OSC.  
This capability can then be used in conjunction with other hardware 
systems as the basis of an action space for reinforcement learning (RL) 
methods.  The program aims to establish a new state of the art in beam 
cooling and a flexible set of tools for beam control and sensing at 
colliders and other accelerator facilities.",program leverages physics technology optical stochastic cooling osc explore new possibilities beam control sensing planned architecture performance new osc system iota enable programmability osc capability used conjunction hardware systems basis action space reinforcement learning rl methods program aims establish new state art beam cooling flexible set tools beam control sensing colliders accelerator facilities,19,Topic: Asset management
265,READS: Real-time Edge AI for Distributed Systems,Fermi National Accelerator,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, BIG DATA, NEURAL NETWORKS","This project will develop and deploy low-latency controls and prediction 
algorithms at the Fermilab accelerator complex",project develop deploy controls prediction algorithms fermilab accelerator complex,8,Service delivery:
